City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,4.0,82,100,2.88,GS,1736445377
1,vorkuta,67.5,64.0,-14.5,88,100,6.58,RU,1736445378
2,sola,-13.8833,167.55,26.49,81,98,2.1,VU,1736445379
3,elverum,60.8819,11.5623,-8.74,96,99,1.55,NO,1736445380
4,stanley,54.868,-1.6985,-1.57,81,0,4.63,GB,1736445382
5,punta arenas,-53.15,-70.9167,15.06,36,0,11.32,CL,1736445383
6,paramaribo,5.8667,-55.1667,31.95,55,40,3.09,SR,1736445384
7,hithadhoo,-0.6,73.0833,27.97,72,92,1.92,MV,1736445385
8,invercargill,-46.4,168.35,11.68,91,98,2.07,NZ,1736445386
9,kuta,-8.7233,115.1723,26.97,94,75,4.12,ID,1736445388
10,puerto natales,-51.7236,-72.4875,16.25,36,40,9.77,CL,1736445389
11,turka,49.1541,23.0297,7.23,83,100,7.17,UA,1736445390
12,rossosh',51.1209,38.5116,3.72,73,100,2.52,RU,1736445391
13,margaret river,-33.95,115.0667,14.85,83,100,2.96,AU,1736445392
14,tazacorte,28.629,-17.9293,21.19,71,20,2.57,ES,1736445394
15,waitangi,-43.9535,-176.5597,11.01,88,87,4.02,NZ,1736445395
16,taulaga,-11.0553,-171.0883,28.38,68,96,9.73,AS,1736445396
17,seoni malwa,22.45,77.4667,14.41,35,9,2.67,IN,1736445397
18,kigonsera,-10.8,35.05,16.52,98,83,1.44,TZ,1736445398
19,olonkinbyen,70.9221,-8.7187,-3.86,75,100,10.27,SJ,1736445400
20,khanty-mansiysk,61.0042,69.0019,-10.94,85,75,7.0,RU,1736445401
21,smirnykh,49.75,142.8333,-10.96,88,95,4.83,RU,1736445402
22,fort mcmurray,56.7268,-111.381,-10.23,92,100,3.09,CA,1736445133
23,urzhar,47.093,81.6294,-10.14,91,100,2.55,KZ,1736445404
24,ulanhot,46.0833,122.0833,-18.04,75,1,2.81,CN,1736445406
25,lebu,-37.6167,-73.65,17.54,72,1,7.65,CL,1736445407
26,talnakh,69.4865,88.3972,-26.77,97,32,1.13,RU,1736445408
27,vernon,50.2581,-119.2691,1.63,84,95,0.51,CA,1736445308
28,ushuaia,-54.8,-68.3,10.81,62,75,11.32,AR,1736445411
29,aykhal,66.0,111.5,-22.23,100,100,1.49,RU,1736445412
30,tura,25.5198,90.2201,13.12,73,1,1.43,IN,1736445413
31,edinburgh of the seven seas,-37.0676,-12.3116,17.78,93,100,5.48,SH,1736445414
32,bredasdorp,-34.5322,20.0403,21.34,71,0,9.63,ZA,1736445417
33,salahonda,2.1019,-78.7217,26.14,84,97,7.01,CO,1736445418
34,tiksi,71.6872,128.8694,-25.46,97,33,5.49,RU,1736445419
35,adamstown,-25.066,-130.1015,24.78,77,100,9.43,PN,1736445420
36,nova vicosa,-17.8919,-39.3719,28.3,67,100,4.55,BR,1736445421
37,carnarvon,-24.8667,113.6333,25.03,67,54,9.29,AU,1736445423
38,bethel,41.3712,-73.414,0.9,54,0,6.71,US,1736445424
39,anadyr,64.75,177.4833,-30.56,74,0,4.0,RU,1736445425
40,lorengau,-2.0226,147.2712,28.2,75,20,3.44,PG,1736445426
41,manta,-0.95,-80.7333,28.88,65,100,2.56,EC,1736445393
42,kone,-21.0595,164.8658,21.56,86,69,1.97,NC,1736445429
43,edson,53.5835,-116.4356,-9.92,85,82,1.03,CA,1736445430
44,port-aux-francais,-49.35,70.2167,4.83,92,95,22.4,TF,1736445431
45,hundested,55.9667,11.8667,1.09,95,97,3.38,DK,1736445432
46,grants pass,42.439,-123.3284,13.38,100,100,5.14,US,1736445434
47,muroto-misakicho,33.2833,134.15,3.83,61,81,10.04,JP,1736445435
48,vorgashor,67.5833,63.95,-14.91,90,100,6.9,RU,1736445436
49,colonia rincon viejo,16.9,-95.05,20.07,85,100,4.32,MX,1736445437
50,howard springs,-12.497,131.047,26.01,92,58,2.5,AU,1736445438
51,zyrya,40.3661,50.2917,6.05,87,0,3.76,AZ,1736445440
52,georgetown,5.4112,100.3354,27.96,68,20,2.57,MY,1736445441
53,santiago de cao,-7.9589,-79.2392,19.07,88,75,4.63,PE,1736445442
54,port lincoln,-34.7333,135.8667,17.37,83,30,4.31,AU,1736445443
55,qui nhon,13.7667,109.2333,21.48,89,100,5.35,VN,1736445445
56,blackmans bay,-43.0167,147.3167,13.62,91,13,0.45,AU,1736445446
57,mabaruma,8.2,-59.7833,30.5,49,25,3.44,GY,1736445447
58,kikwit,-5.041,18.8162,25.17,79,96,0.29,CD,1736445448
59,kuanda,56.3161,116.0806,-31.07,96,11,0.52,RU,1736445449
60,laguna,38.421,-121.4238,11.8,82,0,2.06,US,1736445451
61,abou el hassan,36.4166,1.1962,16.69,82,87,3.45,DZ,1736445452
62,bereznik,62.8551,42.7072,-9.4,85,100,5.1,RU,1736445453
63,wailua homesteads,22.0669,-159.378,20.44,95,100,3.6,US,1736445454
64,yung shue wan,22.2333,114.1167,15.93,52,29,5.64,HK,1736445456
65,petropavlovsk-kamchatsky,53.0452,158.6483,-13.67,56,0,3.0,RU,1736445457
66,queenstown,-31.8976,26.8753,20.85,70,32,3.72,ZA,1736445458
67,independence,39.0911,-94.4155,1.04,65,75,4.12,US,1736445459
68,ilomantsi,62.6716,30.9328,-20.79,99,7,1.26,FI,1736445460
69,hancheng,32.5186,112.3522,-1.2,29,2,1.57,CN,1736445462
70,college,64.8569,-147.8028,-12.01,82,75,0.0,US,1736445463
